timestamp,device_id,cpu_usage_idle,mem_total,mem_used,system_load1,system_load15,system_load5
1723124600,vm101,99.6995493239,4097830912,1986928640,0,0.06,0.01
1723124610,vm101,99.5497748874,4097830912,1986928640,0,0.05,0.01
1723124620,vm101,99.5495495495,4097830912,1986928640,0,0.05,0
1723124630,vm101,99.5495495495,4097830912,1986928640,0,0.05,0
1723124640,vm101,99.5495495495,4097830912,1986928640,0,0.05,0
1723124650,vm101,99.3990986479,4097830912,1987186688,0,0.05,0
1723124660,vm101,99.6494742113,4097830912,1987186688,0,0.05,0
1723124670,vm101,99.4994994995,4097830912,1987960832,0,0.05,0
1723124680,vm101,99.5497748874,4097830912,1987956736,0,0.05,0
1723124690,vm101,99.6494742113,4097830912,1987956736,0,0.05,0
1723124700,vm101,99.6496496496,4097830912,1987956736,0,0.05,0
1723124710,vm101,99.4994994995,4097830912,1987956736,0,0.04,0
1723124720,vm101,99.5995995996,4097830912,1988214784,0,0.04,0
1723124730,vm101,99.6995493239,4097830912,1988214784,0,0.04,0
1723124740,vm101,99.5995995996,4097830912,1988214784,0,0.04,0
1723124750,vm101,99.7494989979,4097830912,1988214784,0,0.04,0
1723124760,vm101,99.4997498749,4097830912,1988214784,0,0.04,0
1723124770,vm101,99.5493239859,4097830912,1988468736,0,0.04,0
1723124780,vm101,99.6496496496,4097830912,1988472832,0,0.04,0
1723124790,vm101,99.5995995995,4097830912,1988472832,0,0.04,0
1723124800,vm101,99.6496496496,4097830912,1988472832,0,0.04,0
1723124810,vm101,99.7493734335,4097830912,1988472832,0,0.03,0
1723124820,vm101,99.5497748874,4097830912,1988472832,0,0.03,0
1723124830,vm101,99.3496748374,4097830912,1988468736,0,0.03,0
1723124840,vm101,99.7494989979,4097830912,1988468736,0,0.03,0
1723124850,vm101,99.5997999,4097830912,1988468736,0,0.03,0
1723124860,vm101,99.6494742113,4097830912,1988464640,0,0.03,0
1723124870,vm101,99.6996996997,4097830912,1988464640,0,0.03,0
1723124880,vm101,99.6494742113,4097830912,1988464640,0,0.03,0
1723124890,vm101,99.5495495495,4097830912,1988464640,0,0.03,0
1723124900,vm101,99.6995493239,4097830912,1988464640,0,0.03,0
1723124910,vm101,99.7994987468,4097830912,1988464640,0.08,0.03,0.02
1723124920,vm101,99.5995995996,4097830912,1988464640,0.07,0.03,0.02
1723124930,vm101,99.6996996996,4097830912,1988464640,0.06,0.03,0.01
1723124940,vm101,99.7496244366,4097830912,1988464640,0.05,0.03,0.01
1723124950,vm101,99.4994994994,4097830912,1988460544,0.04,0.03,0.01
1723124960,vm101,99.5997999,4097830912,1988460544,0.03,0.03,0.01
1723124970,vm101,99.7494989979,4097830912,1988460544,0.03,0.02,0.01
1723124980,vm101,99.5497748874,4097830912,1988460544,0.02,0.02,0.01
1723124990,vm101,99.6995493239,4097830912,1988460544,0.02,0.02,0.01
1723125000,vm101,99.6995493239,4097830912,1988460544,0.02,0.02,0.01
1723125010,vm101,99.4997498749,4097830912,1992654848,0.01,0.02,0.01
1723125020,vm101,99.5993990986,4097830912,1992650752,0.01,0.02,0.01
1723125030,vm101,99.6,4097830912,1992650752,0.01,0.02,0
1723125040,vm101,99.6494742113,4097830912,1992646656,0.01,0.02,0
1723125050,vm101,99.6494742113,4097830912,1992646656,0,0.02,0
1723125060,vm101,99.6995493239,4097830912,1992646656,0,0.02,0
1723125070,vm101,99.5493239859,4097830912,1992646656,0,0.02,0
1723125080,vm101,99.5497748874,4097830912,1992646656,0,0.01,0
1723125090,vm101,99.5995995996,4097830912,1992646656,0,0.01,0
1723125100,vm101,99.5490981963,4097830912,1992646656,0,0.01,0
1723125110,vm101,99.6494742113,4097830912,1992646656,0,0.01,0
1723125120,vm101,99.24887331,4097830912,1992663040,0,0.01,0
1723125130,vm101,99.4994994994,4097830912,1992658944,0,0.01,0
1723125140,vm101,99.7494989979,4097830912,1992658944,0,0.01,0
1723125150,vm101,99.6496496496,4097830912,1992658944,0,0.01,0
1723125160,vm101,99.6492985971,4097830912,1992658944,0,0.01,0
1723125170,vm101,99.4488977955,4097830912,1992527872,0,0.01,0
1723125180,vm101,99.55,4097830912,1992527872,0,0,0
1723125190,vm101,99.5991983967,4097830912,1992527872,0,0,0
1723125200,vm101,99.5995995996,4097830912,1992527872,0,0,0
1723125210,vm101,99.5997999,4097830912,1992527872,0,0,0
1723125220,vm101,99.5989974937,4097830912,1992523776,0,0,0
1723125230,vm101,99.6998499249,4097830912,1992523776,0,0,0
1723125240,vm101,99.6993987975,4097830912,1992523776,0,0,0
1723125250,vm101,99.4997498749,4097830912,1992523776,0,0,0
1723125260,vm101,99.6496496496,4097830912,1992523776,0.07,0,0.02
1723125270,vm101,99.5991983967,4097830912,1992523776,0.06,0,0.02
1723125280,vm101,99.6494742113,4097830912,1992523776,0.05,0,0.01
1723125290,vm101,99.6993987975,4097830912,1992523776,0.04,0,0.01
1723125300,vm101,99.55,4097830912,1992523776,0.04,0,0.01
1723125310,vm101,99.649122807,4097830912,1992519680,0.03,0,0.01
1723125320,vm101,99.5997999,4097830912,1992568832,0.02,0,0.01
1723125330,vm101,99.6995493239,4097830912,1992568832,0.02,0,0.01
1723125340,vm101,99.6494742113,4097830912,1992568832,0.02,0,0.01
1723125350,vm101,99.6995493239,4097830912,1992568832,0.01,0,0.01
1723125360,vm101,99.6498249124,4097830912,1992564736,0.01,0,0.01
1723125370,vm101,99.5495495495,4097830912,1992564736,0.01,0,0.01
1723125380,vm101,99.6492985971,4097830912,1992564736,0.01,0,0
1723125390,vm101,99.6498249124,4097830912,1992564736,0.01,0,0
1723125400,vm101,99.6995493239,4097830912,1992564736,0,0,0
1723125410,vm101,99.6496496496,4097830912,1992564736,0,0,0
